2023-10-14 09:13:11 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=907.9M,21
2023-10-14 09:13:36 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=908.0M,22
2023-10-14 09:14:01 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=908.2M,23
2023-10-14 09:14:26 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=908.8M,24
2023-10-14 09:14:52 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=909.0M,25
2023-10-14 09:15:17 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=908.5M,26
2023-10-14 09:15:42 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=908.4M,27
2023-10-14 09:16:07 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=908.0M,28
2023-10-14 09:16:32 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=908.0M,29
2023-10-14 09:16:57 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=907.8M,30
2023-10-14 09:17:22 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=907.7M,31
2023-10-14 09:17:47 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=907.0M,32
2023-10-14 09:18:12 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=906.8M,33
2023-10-14 09:18:37 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=906.5M,34
2023-10-14 09:19:02 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=906.0M,35
2023-10-14 09:19:27 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.97,alt=905.2M,36
2023-10-14 09:19:52 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=905.1M,37
2023-10-14 09:20:17 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=904.7M,38
2023-10-14 09:20:42 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=903.8M,39
2023-10-14 09:21:07 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.97,alt=903.3M,40
2023-10-14 09:21:32 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=902.2M,41
2023-10-14 09:21:57 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,11,0.97,alt=901.6M,42
2023-10-14 09:22:22 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=901.8M,43
2023-10-14 09:22:47 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=901.7M,44
2023-10-14 09:23:12 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=901.2M,45
2023-10-14 09:23:37 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=900.9M,46
2023-10-14 09:24:02 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.86,alt=900.3M,47
2023-10-14 09:24:27 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.85,alt=900.2M,48
2023-10-14 09:24:52 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.85,alt=899.6M,49
2023-10-14 09:25:17 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,12,0.85,alt=898.9M,50 [Duplicate position packet]
2023-10-14 09:25:42 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.85,alt=898.4M,51
2023-10-14 09:26:07 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.85,alt=897.8M,52
2023-10-14 09:26:32 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.85,alt=897.7M,53
2023-10-14 09:26:57 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.85,alt=896.8M,54
2023-10-14 09:27:22 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.85,alt=896.7M,55
2023-10-14 09:27:47 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.96,alt=896.8M,56
2023-10-14 09:28:12 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.85,alt=897.2M,57
2023-10-14 09:28:37 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.96,alt=896.6M,58
2023-10-14 09:29:02 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.96,alt=895.2M,59
2023-10-14 09:29:27 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.85,alt=894.0M,60
2023-10-14 09:29:52 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.85,alt=892.0M,61
2023-10-14 09:30:17 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,12,0.85,alt=891.1M,62 [Duplicate position packet]
2023-10-14 09:30:42 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,12,0.85,alt=891.6M,63 [Duplicate position packet]
2023-10-14 09:31:07 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.73WONEBP-WV,12,0.96,alt=891.3M,64 [Duplicate position packet]
2023-10-14 09:31:33 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.96,alt=890.2M,65
2023-10-14 09:31:59 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.85,alt=889.5M,66
2023-10-14 09:32:26 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.85,alt=889.2M,67
2023-10-14 09:32:52 CDT: KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3153.50N/10219.74WONEBP-WV,12,0.85,alt=889.0M,68
