2023-10-01 12:42:10 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.22,alt=308.1M
2023-10-01 12:42:50 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.22,alt=309.6M
2023-10-01 12:43:30 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.22,alt=307.9M
2023-10-01 12:44:09 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.26,alt=308.6M
2023-10-01 12:44:48 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.22,alt=308.3M
2023-10-01 12:45:27 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.22,alt=308.4M
2023-10-01 12:46:06 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.21,alt=308.3M
2023-10-01 12:46:45 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.21,alt=308.6M
2023-10-01 12:47:25 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.21,alt=308.6M
2023-10-01 12:48:03 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.21,alt=307.6M
2023-10-01 12:48:42 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.21,alt=308.0M
2023-10-01 12:49:21 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.21,alt=308.3M
2023-10-01 12:50:01 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.21,alt=308.5M
2023-10-01 12:50:39 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.21,alt=307.8M
2023-10-01 12:51:18 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.20,alt=307.6M
2023-10-01 12:51:57 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.20,alt=308.3M
2023-10-01 12:52:36 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.20,alt=307.7M
2023-10-01 12:53:15 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.20,alt=307.6M
2023-10-01 12:53:54 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.20,alt=308.0M
2023-10-01 12:54:33 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.20,alt=307.3M
2023-10-01 12:55:12 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.19,alt=308.6M
2023-10-01 12:55:52 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.19,alt=309.4M
2023-10-01 12:56:31 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.19,alt=307.9M
2023-10-01 12:57:10 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.19,alt=309.6M
2023-10-01 12:57:49 EDT? KE8TJE-11>HYMTR,WIDE1-1,WIDE2-2,qAO,KE8TJE:=3905.66N/08028.15WONEBP WV:2,09,1.19,alt=308.9M
